metal,X,D,HF,1,2,3,4,5
Mn,Li,4.186,0,4.182,4.201,4.214,4.124,4.209
Mn,Li,4.165,15,4.142,4.181,4.185,4.199,4.118
Mn,Li,4.165,20,4.18,4.139,4.118,4.202,4.186
Mn,Li,4.1448,25,4.16,4.129,4.099,4.174,4.162
Mn,Li,4.0534,50,4.038,4.008,4.081,4.072,4.068
Mn,Na,4.9666,0,4.991,4.982,4.991,4.907,4.962
Mn,Na,4.815,15,4.844,4.795,4.756,4.849,4.831
Mn,Na,4.817,20,4.847,4.795,4.757,4.851,4.835
Mn,Na,4.7998,25,4.828,4.766,4.747,4.836,4.822
Mn,Na,4.6364,50,4.669,4.585,4.584,4.679,4.665
Mn,K,5.4704,0,5.491,5.48,5.426,5.464,5.491
Mn,K,5.3706,15,5.405,5.388,5.392,5.316,5.352
Mn,K,5.3796,20,5.415,5.399,5.402,5.324,5.358
Mn,K,5.3248,25,5.359,5.344,5.352,5.272,5.297
Mn,K,5.143,50,5.185,5.162,5.164,5.092,5.112
Fe,Li,4.1852,0,4.195,4.198,4.208,4.136,4.189
Fe,Li,4.1698,15,4.181,4.189,4.121,4.156,4.202
Fe,Li,4.173,20,4.182,4.195,4.124,4.206,4.158
Fe,Li,4.1502,25,4.168,4.17,4.091,4.136,4.186
Fe,Li,4.049,50,4.06,4.063,3.989,4.054,4.079
Fe,Na,4.9596,0,4.989,4.969,4.979,4.923,4.938
Fe,Na,4.8168,15,4.845,4.832,4.772,4.796,4.839
Fe,Na,4.8198,20,4.848,4.781,4.775,4.857,4.838
Fe,Na,4.8006,25,4.822,4.777,4.754,4.831,4.819
Fe,Na,4.6384,50,4.665,4.595,4.592,4.674,4.666
Fe,K,5.4654,0,5.487,5.478,5.441,5.432,5.489
Fe,K,5.3698,15,5.398,5.389,5.395,5.325,5.342
Fe,K,5.3782,20,5.408,5.39,5.4,5.328,5.365
Fe,K,5.3312,25,5.359,5.348,5.359,5.29,5.3
Fe,K,5.1396,50,5.17,5.165,5.174,5.097,5.092
Co,Li,4.1898,0,4.196,4.203,4.211,4.141,4.198
Co,Li,,15,,,,,
Co,Li,,20,,,,,
Co,Li,,25,,,,,
Co,Li,,50,,,,,
Co,Na,4.9632,0,4.992,4.974,4.982,4.929,4.939
Co,Na,4.8188,15,4.848,4.831,4.779,4.792,4.844
Co,Na,,20,,,,,
Co,Na,4.799,25,4.831,4.811,4.763,4.765,4.825
Co,Na,4.638,50,4.668,4.656,4.6,4.595,4.671
Co,K,5.468,0,5.493,5.483,5.442,5.432,5.49
Co,K,5.3704,15,5.403,5.379,5.385,5.332,5.353
Co,K,5.372,20,5.403,5.385,5.396,5.336,5.34
Co,K,5.3346,25,5.367,5.35,5.352,5.305,5.299
Co,K,5.1398,50,5.165,5.109,5.1,5.168,5.157
